ID,Word,Definition,Part of Speech,Example Sentence,Synonym 1,Synonym 2,CEFR Level,Difficulty Score,Category,Frequency Level,Word Family,Usage Note,Related Words
2673,Bewhiskered,Furnish with whiskers.,Verb,A whiskered jersey.,bewhisker,whisker,B2,36,Business,Less Common,,,provide;furnish;supply
2674,Bewildered,Be a mystery or bewildering to.,Verb,This beats me!,perplex,vex,B1,15,Academic,Common,,,confuse;befuddle;bedevil
2675,Bewitch,Attract; cause to be enamored.,Verb,She captured all the men's hearts.,capture,enamour,B2,51,Emotion,Less Common,,,attract;influence;becharm
2676,Bewitched,Attract; cause to be enamored.,Verb,She captured all the men's hearts.,capture,enamour,B1,28,Emotion,Common,,,attract;influence;becharm
2677,Bewitchingly,In a bewitching manner.,Adverb,She was bewitchingly beautiful.,captivatingly,enchantingly,B2,51,General,Less Common,,,attractive;bewitching
2678,Biaxate,Having two axes.,Adjective,Biaxial crystals.,biaxial,biaxal,B2,52,General,Less Common,,,axis
2679,Biblical,Of or pertaining to or contained in or in accordance with the Bible.,Adjective,Biblical names.,scriptural,,A2,7,General,Very Common,,,bible
2680,Bicameral,Consisting of two chambers.,Adjective,The bicameral heart of a fish.,two-chambered,,B2,36,General,Less Common,,,divided
2681,Bicentenary,Of or relating to or completing a period of 200 years.,Adjective,Bicentennial celebration.,bicentennial,,B2,52,General,Less Common,,,
2682,Bichrome,Having two colors.,Adjective,A bicolor flower.,bicolor,bicolour,B2,52,General,Less Common,,,colored;coloured;colorful
2683,Bicolor,Having two colors.,Adjective,A bicolor flower.,bicolour,bicolored,B2,52,General,Less Common,,,colored;coloured;colorful
2684,Bicolour,Having two colors.,Adjective,A bicolor flower.,bicolor,bicolored,B2,52,General,Less Common,,,colored;coloured;colorful
2685,Bicoloured,Having two colors.,Adjective,A bicolor flower.,bicolor,bicolour,B2,52,General,Less Common,,,colored;coloured;colorful
2686,Bicorned,Having two horns or horn-shaped parts.,Adjective,A bicornuate uterus.,bicorn,bicornate,B2,52,General,Less Common,,,horned
2687,Bicornuous,Having two horns or horn-shaped parts.,Adjective,A bicornuate uterus.,bicorn,bicorned,B2,52,General,Less Common,,,horned
2688,Bicuspidate,Having two cusps or points (especially a molar tooth).,Adjective,Bicuspid teeth.,bicuspid,,B2,52,General,Less Common,,,angular;angulate
2689,Bidding,A request to be present.,Noun,They came at his bidding.,summons,,A2,13,Communication,Very Common,,,commission;direction;injunction
2690,Biennial,Having a life cycle lasting two seasons.,Adjective,A biennial life cycle.,two-year,,B2,36,General,Less Common,,,periodical;periodic
2691,Bifacial,Having two faces or fronts.,Adjective,The Roman Janus is bifacial.,biface,,B2,52,General,Less Common,,,bidirectional
2692,Bifurcated,Divide into two branches.,Verb,The road bifurcated.,bifurcate,,B2,52,General,Less Common,,,separate;arborize;diverge
2693,Bighearted,Given or giving freely.,Adjective,Was a big tipper.,big,bounteous,B2,52,General,Less Common,,,generous;bigheartedness
2694,Biliousness,A disposition to exhibit uncontrolled anger.,Noun,His temper was well known to all his employees.,temper,irritability,B2,52,General,Less Common,,,infection;sulkiness;pettishness
2695,Billhook,A long-handled saw with a curved blade.,Noun,He used a bill to prune branches off of the tree.,bill,,B2,52,Science & Technology,Less Common,,,saw;bucksaw;hacksaw
2696,Billings,Request for payment of a debt.,Noun,They submitted their charges at the end of each month.,charge,billing,B2,36,Communication,Less Common,,,request;invitation;questioning
2697,Billowy,Characterized by great swelling waves or surges.,Adjective,Billowy storm clouds.,billowing,surging,B2,52,General,Less Common,,,billow;stormy
2698,Bilobate,Having two lobes.,Adjective,A bilobate leaf.,bilobated,bilobed,B2,52,General,Less Common,,,compound
2699,Bilobated,Having two lobes.,Adjective,A bilobate leaf.,bilobate,bilobed,B2,52,General,Less Common,,,compound
2700,Bilocular,Divided into or containing two cells or chambers.,Adjective,Having a bilocular capsule.,biloculate,,B2,52,General,Less Common,,,divided
2701,Bimanual,Requiring two hands or designed for two people.,Adjective,A two-handed sledgehammer.,two-handed,,B2,52,General,Less Common,,,handed
2702,Bimetallic,Pertaining to a monetary system based on two metals.,Adjective,In a bimetallistic system both gold and silver can constitute legal tender.,bimetallistic,,B2,52,General,Less Common,,,metallic;bimetallism;bimetal
2703,Bimonthly,Occurring twice a month.,Adjective,A semimonthly publication.,semimonthly,,B2,36,General,Less Common,,,periodical;periodic
2704,Binaural,Relating to or having or hearing with two ears.,Adjective,Binaural hearing.,biaural,,B2,52,General,Less Common,,,stereophonic;stereo
2705,Binomial,"Having or characterized by two names, especially those of genus and species in taxonomies.",Adjective,Binomial nomenclature of bacteria.,binominal,,A2,5,General,Very Common,,,onymous
2706,Biographic,Of or relating to or being biography.,Adjective,Biographical data.,biographical,,B2,52,General,Less Common,,,biography
2707,Bionomic,Of or relating to the science of ecology.,Adjective,Ecological research.,ecological,ecologic,B2,52,General,Less Common,,,bionomics
2708,Bionomical,Of or relating to the science of ecology.,Adjective,Ecological research.,ecological,ecologic,B2,52,General,Less Common,,,bionomics
2709,Biotechnology,The branch of molecular biology that studies the use of microorganisms to perform specific industrial processes.,Noun,Biotechnology produced genetically altered bacteria that solved the problem.,biotech,,B2,52,Academic,Less Common,,,engineering;technology;bioremediation
2710,Bioweapon,Any weapon usable in biological warfare.,Noun,They feared use of the smallpox virus as a bioweapon.,biological weapon,bioarm,B2,52,Science & Technology,Less Common,,,wmd;seb;aflatoxin
2711,Bipartite,Involving two parts or elements.,Adjective,A bipartite document.,two-part,two-way,B2,52,General,Less Common,,,compound;multilateral
2712,Biramous,Resembling a fork; divided or separated into two branches.,Adjective,The biramous appendages of an arthropod.,bifurcate,branched,B2,52,General,Less Common,,,divided
2713,Birdcall,The characteristic sound produced by a bird.,Noun,A bird will not learn its song unless it hears it at an early age.,call,birdsong,B2,52,Communication,Less Common,,,bell;whistle;mouthpiece
2714,Birdnesting,Gather birdnests.,Verb,They went birdnesting in the early morning.,birdnest,bird-nest,B2,52,General,Less Common,,,collect;harvest;mobilize
2715,Birling,Cause to spin.,Verb,Spin a coin.,whirl,birl,B2,52,General,Less Common,,,rotate;circumvolve;spin
2716,Birthplace,Where something originated or was nurtured in its early existence.,Noun,The birthplace of civilization.,cradle,place of origin,B1,15,Travel & Places,Common,,,beginning;rootage;fountainhead
2717,Bitingly,Extremely and sharply.,Adverb,It was bitterly cold.,piercingly,bitterly,B2,52,General,Less Common,,,painful;biting;sharp
2718,Bitterly,Extremely and sharply.,Adverb,It was bitterly cold.,piercingly,bitingly,A2,7,General,Very Common,,,intolerable;unendurable;bitter
2719,Bivouacking,Live in or as if in a tent.,Verb,Can we go camping again this summer?,camp,encamp,B2,52,General,Less Common,,,populate;neighbor;neighbour
2720,Biyearly,Occurring every second year.,Adjective,They met at biennial conventions.,biennial,,B2,52,General,Less Common,,,periodical;periodic
2721,Blackball,Vote against; refuse to endorse; refuse to assent.,Verb,The President vetoed the bill.,veto,negative,B2,52,Society & Culture,Less Common,,,controvert;exclude;extradite
2722,Blackbody,A hypothetical object capable of absorbing all the electromagnetic radiation falling on it.,Noun,A black body maintained at a constant temperature is a full radiator at that temperature because the radiation reaching and leaving it must be in equilibrium.,black body,full radiator,B2,52,General,Less Common,,,mechanism;consolidation;universe
2723,Blackened,Make or become black.,Verb,The smoke blackened the ceiling.,blacken,melanize,B1,17,General,Common,,,discolor;discolour;crimson
2724,Blackguard,Someone who is morally reprehensible.,Noun,You dirty dog.,cad,bounder,B2,52,Society & Culture,Less Common,,,blackguardly;villain;scoundrel
2725,Blacking,Make or become black.,Verb,The smoke blackened the ceiling.,blacken,melanize,B2,36,General,Less Common,,,discolor;discolour;crimson
2726,Blackout,Partial or total loss of memory.,Noun,He has a total blackout for events of the evening.,amnesia,memory loss,B1,17,Academic,Common,,,suspension;darkness;respite
2727,Bladelike,Shaped like a sword blade.,Adjective,The iris has an ensiform leaf.,ensiform,sword-shaped,B2,52,General,Less Common,,,simple;unsubdivided
2728,Blameable,Deserving blame or censure as being wrong or evil or injurious.,Adjective,Blameworthy if not criminal behavior.,blameworthy,blamable,B2,52,General,Less Common,,,blame;guilty
2729,Blameless,Free of guilt; not subject to blame.,Adjective,Has lived a blameless life.,inculpable,irreproachable,B2,52,General,Less Common,,,innocent;guiltless;blamelessness
2730,Blameworthy,Deserving blame or censure as being wrong or evil or injurious.,Adjective,Blameworthy if not criminal behavior.,blamable,blameable,B2,52,General,Less Common,,,blame;blameworthiness;guilty
2731,Blanched,Cook (vegetables) briefly.,Verb,Parboil the beans before freezing them.,blanch,parboil,B2,36,General,Less Common,,,discolor;discolour;crimson
2732,Blaring,Make a strident sound.,Verb,She tended to blast when speaking into a microphone.,blast,blare,B2,36,General,Less Common,,,brattle;scraunch;crackle
2733,Blaspheme,Utter obscenities or profanities.,Verb,The drunken men were cursing loudly in the street.,curse,cuss,B2,52,Communication,Less Common,,,express;verbalize;verbalise
2734,Blasphemy,Blasphemous behavior; the act of depriving something of its sacred character.,Noun,Desecration of the Holy Sabbath.,profanation,desecration,B1,19,General,Common,,,violation;contumely;vilification
2735,Blasting,Make a strident sound.,Verb,She tended to blast when speaking into a microphone.,blast,blare,B1,28,General,Common,,,brattle;scraunch;crackle
2736,Blatant,Without any attempt at concealment; completely obvious.,Adjective,Blatant disregard of the law.,blazing,conspicuous,B1,28,General,Common,,,blatancy;unconcealed;noisy
2737,Blazing,A strong flame that burns brightly.,Noun,The blaze spread rapidly.,blaze,,B1,15,Nature,Common,,,flaming;fire;flame
2738,Bleakness,A bleak and desolate atmosphere.,Noun,The nakedness of the landscape.,desolation,bareness,B2,52,General,Less Common,,,bleak;gloom;gloominess
2739,Blemish,A mark or flaw that spoils the appearance of something (especially on a person's body).,Noun,A facial blemish.,defect,mar,B1,28,General,Common,,,appearance;scratch;burn
2740,Blemished,Mar or spoil the appearance of.,Verb,Scars defaced her cheeks.,deface,disfigure,B2,52,General,Less Common,,,vitiate;corrupt;mar
2741,Blending,Combine into one.,Verb,Blend the nuts and raisins together.,blend,intermix,B2,36,General,Less Common,,,amalgamate;harmonize;concord
2742,Blighted,Cause to suffer a blight.,Verb,Too much rain may blight the garden with mold.,blight,plague,B1,23,Nature,Common,,,afflict;smite;visit
2743,Blinded,Make blind by putting the eyes out.,Verb,The criminals were punished and blinded.,blind,,B1,19,General,Common,,,bedazzle;seel;dazzle
2744,Blindfolded,Cover the eyes of (someone) to prevent him from seeing.,Verb,The hostage was blindfolded and driven away.,blindfold,,B1,28,General,Common,,,cover
2745,Blinding,Make blind by putting the eyes out.,Verb,The criminals were punished and blinded.,blind,,B1,28,General,Common,,,bedazzle;seel;dazzle
2746,Blister,Get blistered.,Verb,Her feet blistered during the long hike.,vesicate,,B1,23,General,Common,,,intumesce;assault;distend
2747,Blistery,Hot enough to raise (or as if to raise) blisters.,Adjective,Blistering sun.,blistering,,B2,52,General,Less Common,,,blister;hot;unhealthy
2748,Blitheness,A feeling of spontaneous good spirits.,Noun,His cheerfulness made everyone feel better.,cheerfulness,,B2,52,Emotion,Less Common,,,happiness;rejoicing;belonging
2749,Blithesome,Carefree and happy and lighthearted.,Adjective,Was loved for her blithe spirit.,blithe,lighthearted,B2,52,General,Less Common,,,cheerful
2750,Blizzard,A series of unexpected and unpleasant occurrences.,Noun,A rash of bank robberies.,rash,,A2,13,Society & Culture,Very Common,,,stations;progression;succession
2751,Blockaded,Hinder or prevent the progress or accomplishment of.,Verb,His brother blocked him at every turn.,obstruct,blockade,B2,52,Society & Culture,Less Common,,,prevent;obturate;forefend
2752,Blockage,An obstruction in a pipe or tube.,Noun,We had to call a plumber to clear out the blockage in the drainpipe.,block,closure,B2,52,Science & Technology,Less Common,,,stopper;stopple;obstacle
2753,Bloodbath,Indiscriminate slaughter.,Noun,A bloodbath took place when the leaders of the plot surrendered.,bloodletting,bloodshed,B2,52,General,Less Common,,,slaughter;massacre;carnage
2754,Blooded,Of unmixed ancestry.,Adjective,Full-blooded Native American.,full-blooded,full-blood,B2,36,General,Less Common,,,purebred
2755,Bloodletting,Indiscriminate slaughter.,Noun,A bloodbath took place when the leaders of the plot surrendered.,bloodbath,bloodshed,B2,52,General,Less Common,,,therapy;dressing;bandaging
2756,Bloodshed,The shedding of blood resulting in murder.,Noun,He avenged the bloodshed of his kinsmen.,gore,,B1,23,General,Common,,,slaying;execution;lynching
2757,Bloodsucking,Of plants or persons; having the nature or habits of a parasite or leech; living off another.,Adjective,A wealthy class parasitic upon the labor of the masses.,parasitic,parasitical,B2,52,General,Less Common,,,dependent
2758,Bloomers,Underpants worn by women.,Noun,She was afraid that her bloomers might have been showing.,pants,drawers,B2,52,Science & Technology,Less Common,,,underpants;flower;pantie
2759,Blooming,The organic process of bearing flowers.,Noun,You will stop all bloom if you let the flowers go to seed.,bloom,,A2,10,Nature,Very Common,,,
2760,Blossoming,Produce or yield flowers.,Verb,The cherry tree bloomed.,bloom,blossom,B2,52,General,Less Common,,,develop;progress;incubate
2761,Blubber,Excess bodily weight.,Noun,She disliked fatness in herself as well as in others.,fatness,fat,B2,36,General,Less Common,,,adiposity;adiposeness;fattiness
2762,Blueness,Blue color or pigment; resembling the color of the clear sky in the daytime.,Noun,He had eyes of bright blue.,blue,,B2,52,General,Less Common,,,cerulean;complementary;aqua
2763,Blueprint,Something intended as a guide for making something else.,Noun,A blueprint for a house.,design,pattern,B2,36,Academic,Less Common,,,program;programme;photograph
2764,Bluffly,In a blunt direct manner.,Adverb,He spoke bluntly.,bluntly,brusquely,B2,52,General,Less Common,,,bluff;direct
2765,Blunted,Make less intense.,Verb,Blunted emotions.,blunt,,B2,36,General,Less Common,,,desensitise;enfeeble;cripple
2766,Bluntness,Without sharpness or clearness of edge or point.,Noun,The dullness of the pencil made his writing illegible.,dullness,,B1,28,General,Common,,,configuration;keenness;roundness
2767,Blushful,Having a red face from embarrassment or shame or agitation or emotional upset.,Adjective,The blushing boy was brought before the Principal.,blushing,red-faced,B2,52,General,Less Common,,,discomposed;chromatic
2768,Blushing,"Turn red, as if in embarrassment or shame.",Verb,The girl blushed when a young man whistled as she walked by.,blush,crimson,B1,19,Health & Wellness,Common,,,discolor;discolour;melanize
2769,Blusterous,Blowing in violent and abrupt bursts.,Adjective,Blustering (or blusterous) winds of Patagonia.,blustering,blustery,B2,52,General,Less Common,,,bluster;stormy
2770,Boarding,Live and take one's meals at or in.,Verb,She rooms in an old boarding house.,board,room,B1,17,General,Common,,,populate;intrude;penetrate
2771,Boastfully,In a boastful manner.,Adverb,He talked big all evening.,vauntingly,big,B2,36,General,Less Common,,,boastful;proud
2772,Boatload,The amount of cargo that can be held by a boat or ship or a freight car.,Noun,He imported wine by the boatload.,shipload,carload,B2,36,General,Less Common,,,multitude;plurality;barrels
2773,Bobsled,Ride a bobsled.,Verb,The boys bobbed down the hill screaming with pleasure.,bob,,B2,52,General,Less Common,,,sled;sleigh;toboggan
2774,Bobtailed,Having a short or shortened tail.,Adjective,Bobtail mare.,bobtail,,B2,52,General,Less Common,,,caudate;caudated
2775,Bodiless,Not having a material body.,Adjective,Bodiless ghosts.,discorporate,unembodied,B2,52,General,Less Common,,,immaterial;incorporeal;unbodied
2776,Boiling,Come to the boiling point and change from a liquid to vapor.,Verb,Water boils at 100 degrees Celsius.,boil,,A2,11,General,Very Common,,,turn;change;simmer
2777,Boisterous,Noisy and lacking in restraint or discipline.,Adjective,A boisterous crowd.,rambunctious,robustious,B2,36,General,Less Common,,,spirited;boisterousness;disorderly
2778,Boldness,The trait of being willing to undertake things that involve risk or danger.,Noun,The proposal required great boldness.,daring,hardiness,B1,23,General,Common,,,audaciousness;competitiveness;bold
2779,Bollock,One of the two male reproductive glands that produce spermatozoa and secrete androgens.,Noun,She kicked him in the balls and got away.,testis,testicle,B2,52,Health & Wellness,Less Common,,,ballock;gonad;cobblers
2780,Bolshevik,Of or relating to Bolshevism.,Adjective,Bolshevik Revolution.,bolshevist,bolshevistic,B2,52,General,Less Common,,,bolshevism
2781,Bolshevist,Of or relating to Bolshevism.,Adjective,Bolshevik Revolution.,bolshevik,bolshevistic,B2,52,General,Less Common,,,bolshevism
2782,Bolshevistic,Of or relating to Bolshevism.,Adjective,Bolshevik Revolution.,bolshevik,bolshevist,B2,36,General,Less Common,,,bolshevism
2783,Bolster,Support and strengthen.,Verb,Bolster morale.,bolster up,,B1,23,General,Common,,,reenforce;reinforce;prop
2784,Bombardment,The rapid and continuous delivery of linguistic communication (spoken or written).,Noun,A barrage of questions.,barrage,outpouring,B2,36,Communication,Less Common,,,language;onslaught;signing
2785,Bombastically,In a turgid manner.,Adverb,He lectured bombastically about his theories.,turgidly,,B2,52,General,Less Common,,,bombastic;rhetorical
2786,Bombilate,Make a buzzing sound.,Verb,Bees were buzzing around the hive.,buzz,bombinate,B2,52,General,Less Common,,,bombilation;sound
2787,Bombinate,Make a buzzing sound.,Verb,Bees were buzzing around the hive.,buzz,bombilate,B2,52,General,Less Common,,,bombination;sound
2788,Bombing,Throw bombs at or attack with bombs.,Verb,The Americans bombed Dresden.,bombard,bomb,B1,17,Business,Common,,,atomize;atomise;surprise
2789,Bombshell,A shocking surprise.,Noun,News of the attack came like a bombshell.,thunderbolt,thunderclap,B2,52,General,Less Common,,,surprise;attraction;peripetia
2790,Bonderise,Coat with a substance that will prevent corrosion.,Verb,Bonderize steel.,bonderize,,B2,52,General,Less Common,,,surface;coat
2791,Bonderize,Coat with a substance that will prevent corrosion.,Verb,Bonderize steel.,bonderise,,B2,52,General,Less Common,,,surface;coat
2792,Bonkers,Informal or slang terms for mentally irregular.,Adjective,It used to drive my husband balmy.,balmy,barmy,B2,52,General,Less Common,,,insane
2793,Bookish,Characterized by diligent study and fondness for reading.,Adjective,A bookish farmer who always had a book in his pocket.,studious,,B2,36,General,Less Common,,,bookishness;scholarly
2794,Boorish,Ill-mannered and coarse and contemptible in behavior or appearance.,Adjective,Was boorish and insensitive.,loutish,neanderthal,B2,36,General,Less Common,,,boorishness;unrefined
2795,Bootleg,Distributed or sold illicitly.,Adjective,The black economy pays no taxes.,black,black-market,B2,52,General,Less Common,,,illegal
2796,Bootlegging,Sell illicit products such as drugs or alcohol.,Verb,They were bootlegging whiskey.,bootleg,,B2,36,Business,Less Common,,,produce;sell;make
2797,Bootlick,Try to gain favor by cringing or flattering.,Verb,He is always kowtowing to his boss.,fawn,toady,B2,52,Communication,Less Common,,,truckle;bootlicker;flatter
2798,Boozing,The act of drinking alcoholic beverages to excess.,Noun,Drink was his downfall.,drink,drinking,B2,52,General,Less Common,,,intemperateness;intemperance
2799,Bordered,Extend on all sides of simultaneously; encircle.,Verb,The forest surrounds my property.,surround,environ,B1,28,General,Common,,,contact;enclose;inclose
2800,Borderland,District consisting of the area on either side of a border or boundary of a country or an area.,Noun,The Welsh marches between England and Wales.,border district,march,B2,52,Travel & Places,Less Common,,,territory;mandatory;jurisdiction
2801,Boringly,In a tedious manner.,Adverb,Boringly slow work.,tediously,tiresomely,B2,52,General,Less Common,,,boring;uninteresting
2802,Bosomed,Hide in one's bosom.,Verb,She bosomed his letters.,bosom,,B2,52,General,Less Common,,,conceal;harbour;obstruct
2803,Botanical,Of or relating to plants or botany.,Adjective,Botanical garden.,botanic,,B2,36,General,Less Common,,,botany
2804,Botheration,Something or someone that causes trouble; a source of unhappiness.,Noun,Washing dishes was a nuisance before we got a dish washer.,annoyance,bother,B2,52,Academic,Less Common,,,nuisance;irritant;concern
2805,Bothered,Take the trouble to do something; concern oneself.,Verb,He did not trouble to call his mother on her birthday.,trouble oneself,trouble,A2,8,Society & Culture,Very Common,,,antagonise;repulse;strive
2806,Bottomed,Provide with a bottom or a seat.,Verb,Bottom the chairs.,bottom,,B2,52,Business,Less Common,,,provide;furnish;connect
2807,Bouffant,Being puffed out; used of hair style or clothing.,Adjective,A bouffant skirt.,puffy,,B1,28,General,Common,,,large;big
2808,Bouldered,Abounding in rocks or stones.,Adjective,Rocky fields.,rocky,bouldery,B2,52,General,Less Common,,,rough;unsmooth
2809,Bouldery,Abounding in rocks or stones.,Adjective,Rocky fields.,rocky,bouldered,B2,52,General,Less Common,,,boulder;rough;unsmooth
2810,Bounded,Move forward by leaps and bounds.,Verb,The horse bounded across the meadow.,jump,leap,A2,11,General,Very Common,,,rebound;ricochet;overleap
2811,Boundless,"Seemingly boundless in amount, number, degree, or especially extent.",Adjective,Unbounded enthusiasm.,unbounded,limitless,B1,28,General,Common,,,infinite;boundlessness
2812,Bounteous,Given or giving freely.,Adjective,Was a big tipper.,big,bighearted,B2,52,General,Less Common,,,generous;bounty;bounteousness
2813,Bourgeois,Conforming to the standards and conventions of the middle class.,Adjective,A bourgeois mentality.,conservative,materialistic,B1,23,General,Common,,,capitalist;capitalistic
2814,Bourgeon,"Produce buds, branches, or germinate.",Verb,The potatoes sprouted.,shoot,spud,B2,52,General,Less Common,,,germinate;ankylose;ancylose
2815,Bowdleriser,A person who edits a text by removing obscene or offensive words or passages.,Noun,Thomas Bowdler was a famous expurgator.,expurgator,bowdlerizer,B2,52,Society & Culture,Less Common,,,bowdlerise;editor;subeditor
2816,Bowdlerizer,A person who edits a text by removing obscene or offensive words or passages.,Noun,Thomas Bowdler was a famous expurgator.,expurgator,bowdleriser,B2,52,Society & Culture,Less Common,,,bowdlerize;editor;subeditor
2817,Bowling,Engage in the sport of bowling.,Verb,My parents like to bowl on Friday nights.,bowl,,B2,52,Business,Less Common,,,precipitate;wheel;roll
2818,Boyishly,Like a boy.,Adverb,He smiled boyishly at his fiancee.,boylike,,B2,53,General,Less Common,,,boyish;young;immature
2819,Brabble,Argue over petty things.,Verb,Let's not quibble over pennies.,quibble,niggle,B2,53,Communication,Less Common,,,contend;quarrel;dispute
2820,Bracket,Place into brackets.,Verb,Please bracket this remark.,bracket out,,B2,36,Communication,Less Common,,,support;sustain;hold
2821,Braggart,Exhibiting self-importance.,Adjective,Big talk.,boastful,bragging,B2,53,General,Less Common,,,proud
2822,Brahman,A member of a social and cultural elite (especially a descendant of an old New England family).,Noun,A Boston brahman.,brahmin,,B2,53,Society & Culture,Less Common,,,baronet;aristocrat;patrician
2823,Brahmin,A member of a social and cultural elite (especially a descendant of an old New England family).,Noun,A Boston brahman.,brahman,,B2,53,Society & Culture,Less Common,,,baronet;brahminic;brahminical
2824,Braiding,Make by braiding or interlacing.,Verb,Lace a tablecloth.,braid,lace,B2,36,Arts & Creativity,Less Common,,,decorate;embellish;weave
2825,Brainiac,Someone who has exceptional intellectual ability and originality.,Noun,Mozart was a child genius.,genius,mastermind,B2,53,Society & Culture,Less Common,,,intellectual;intellect
2826,Brainpower,Mental ability.,Noun,He's got plenty of brains but no common sense.,brain,learning ability,B2,53,Academic,Less Common,,,intelligence;breadth;comprehensiveness
2827,Brainwashed,"Persuade completely, often through coercion.",Verb,The propaganda brainwashed many people.,brainwash,,B2,53,Communication,Less Common,,,prevail;influence;convert
2828,Brainwashing,"Persuade completely, often through coercion.",Verb,The propaganda brainwashed many people.,brainwash,,B2,36,Communication,Less Common,,,prevail;influence;convert
2829,Braising,Cook in liquid.,Verb,Braise beef.,braise,,B2,53,General,Less Common,,,cook;steam;stew
2830,Branched,Grow and send out branches or branch-like structures.,Verb,These plants ramify early and get to be very large.,ramify,branch,B1,28,General,Common,,,separate;arborize;develop
2831,Branching,Grow and send out branches or branch-like structures.,Verb,These plants ramify early and get to be very large.,ramify,branch,B2,36,General,Less Common,,,separate;arborize;develop
2832,Branded,To accuse or condemn or openly or formally or brand as disgraceful.,Verb,He denounced the government action.,stigmatize,stigmatise,B1,28,Society & Culture,Common,,,describe;delineate;asterisk
2833,Brandish,Move or swing back and forth.,Verb,She waved her gun.,flourish,wave,B2,53,General,Less Common,,,exhibit;display;ostentate
2834,Brashly,In a brash cheeky manner.,Adverb,"Brashly, she asked for a rebate.",cheekily,nervily,B2,53,General,Less Common,,,forward;brash
2835,Brattle,Make a rattling sound.,Verb,Clattering dishes.,clatter,clack,B2,53,General,Less Common,,,scraunch;crackle;screech
2836,Breadth,The capacity to understand a broad range of topics.,Noun,A teacher must have a breadth of knowledge of the subject.,comprehensiveness,largeness,A2,13,Academic,Very Common,,,intelligence;dimension;narrowness
2837,Breadthways,In the direction of the breadth.,Adverb,Cut the cloth breadthwise.,breadthwise,broadwise,B2,53,General,Less Common,,,
2838,Breakage,The act of breaking something.,Noun,The breakage was unavoidable.,break,breaking,B2,36,General,Less Common,,,reimbursement;costs;allowance
2839,Breakout,An escape from jail.,Noun,The breakout was carefully planned.,break,jailbreak,B2,53,General,Less Common,,,evasion;getaway;prisonbreak
2840,Breastfeed,Give suck to.,Verb,The wetnurse suckled the infant.,suckle,suck,B2,53,Health & Wellness,Less Common,,,malnourish;breakfast;regurgitate
2841,Breathed,"Draw air into, and expel out of, the lungs.",Verb,I can breathe better when the air is clean.,breathe,take a breath,A2,11,Health & Wellness,Very Common,,,suspire;hiccough;survive
2842,Breathtaking,Tending to cause suspension of regular breathing.,Adjective,A breathless flight.,breathless,,B1,23,General,Common,,,exciting
2843,Brethren,A male with the same parents as someone else.,Noun,My brother still lives with our parents.,brother,blood brother,A2,12,Society & Culture,Very Common,,,sect;stepbrother
2844,Bribable,Capable of being corrupted.,Adjective,Corruptible judges.,corruptible,dishonest,B2,53,General,Less Common,,,corrupt;bribe
2845,Brickly,Having little elasticity; hence easily cracked or fractured or snapped.,Adjective,Brittle bones.,brittle,brickle,B2,53,General,Less Common,,,breakable
2846,Bridgehead,An area in hostile territory that has been captured and is held awaiting further troops and supplies.,Noun,An attempt to secure a bridgehead behind enemy lines.,foothold,,B1,28,Travel & Places,Common,,,station;beachhead;airhead
2847,Briefing,Give essential information to someone.,Verb,The reporters were briefed about the President's plan to invade.,brief,,B1,28,Communication,Common,,,instruct;apprise;apprize
2848,Brightly,With brightness.,Adverb,The stars shone brilliantly.,brilliantly,bright,B1,15,General,Common,,,lustrous;nacreous;opalescent
2849,Brilliance,A light within the field of vision that is brighter than the brightness to which the eyes are adapted.,Noun,A glare of sunlight.,glare,blaze,B1,19,General,Common,,,brilliant;splendor;glisten
2850,Brimful,Filled to capacity.,Adjective,A brimful cup.,brimfull,brimming,B2,36,General,Less Common,,,full
2851,Brimfull,Filled to capacity.,Adjective,A brimful cup.,brimful,brimming,B2,53,General,Less Common,,,full
2852,Brisken,Become brisk.,Verb,Business brisked up.,brisk,brisk up,B2,53,General,Less Common,,,accelerate;quicken;speed
2853,Bristle,Be in a state of movement or action.,Verb,The room abounded with screaming children.,abound,burst,B1,23,General,Common,,,feature;involve;possess
2854,Bristly,Very irritable.,Adjective,Bristly exchanges between the White House and the press.,prickly,splenetic,B2,53,General,Less Common,,,bristle;bristliness;armed
2855,Brittle,Having little elasticity; hence easily cracked or fractured or snapped.,Adjective,Brittle bones.,brickle,brickly,B1,23,General,Common,,,brittleness;breakable;coldhearted
2856,Broadband,Responding to or operating at a wide band of frequencies.,Adjective,A broadband antenna.,wideband,,B2,53,General,Less Common,,,network
2857,Broadening,Make broader.,Verb,Broaden the road.,broaden,,A2,11,General,Very Common,,,increase;territorialise;stretch
2858,Broadsheet,An advertisement (usually printed on a page or in a leaflet) intended for wide distribution.,Noun,He mailed the circular to all subscribers.,circular,handbill,B2,53,Communication,Less Common,,,advertising;commercial;throwaway
2859,Broadwise,In the direction of the breadth.,Adverb,Cut the cloth breadthwise.,breadthwise,breadthways,B2,53,General,Less Common,,,
2860,Brobdingnagian,Unusually great in size or amount or degree or especially extent or scope.,Adjective,Huge government spending.,huge,immense,B2,53,General,Less Common,,,brobdingnag;large;big
2861,Broiled,Cook under a broiler.,Verb,Broil fish.,broil,oven broil,B1,28,General,Common,,,barbeque;grill;heat
2862,Bromidic,Dull and tiresome but with pretensions of significance or originality.,Adjective,Bromidic sermons.,corny,platitudinal,B2,53,General,Less Common,,,bromide;unoriginal
